Thread-17 Entrando persona, visitantes actuales: 88
Thread-7 Saliendo persona, visitantes actuales: 92
Thread-18 Entrando persona, visitantes actuales: 89
Thread-4 Saliendo persona, visitantes actuales: 95
Thread-9 Saliendo persona, visitantes actuales: 90
Thread-20 Entrando persona, visitantes actuales: 91
Thread-22 Entrando persona, visitantes actuales: 93
Thread-24 Entrando persona, visitantes actuales: 95
Thread-21 Entrando persona, visitantes actuales: 92
Thread-2 Saliendo persona, visitantes actuales: 97
Thread-12 Saliendo persona, visitantes actuales: 85
Thread-14 Saliendo persona, visitantes actuales: 87
Thread-11 Saliendo persona, visitantes actuales: 86
Thread-16 Entrando persona, visitantes actuales: 87
Thread-13 Saliendo persona, visitantes actuales: 88
Thread-5 Saliendo persona, visitantes actuales: 94
Thread-3 Saliendo persona, visitantes actuales: 96
Thread-8 Saliendo persona, visitantes actuales: 91
Thread-15 Entrando persona, visitantes actuales: 86
Thread-10 Saliendo persona, visitantes actuales: 89
Thread-0 Saliendo persona, visitantes actuales: 97
Thread-19 Entrando persona, visitantes actuales: 90
Thread-6 Saliendo persona, visitantes actuales: 93
Thread-1 Saliendo persona, visitantes actuales: 97
Thread-23 Entrando persona, visitantes actuales: 94
Numero final de visitantes en la sala: 95
